# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.global.apply.state.to.project.ms,1772701658591000000,1772701718628000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1772701658591000000,1772701718628000000,5
jps.reload.project.entities.ms,1772701658591000000,1772701718628000000,0
workspaceModel.cachedValue.from.cache.count,1772701658591000000,1772701718628000000,40
workspaceModel.loading.total.ms,1772701658591000000,1772701718628000000,36
workspaceModel.collect.changes.ms,1772701658591000000,1772701718628000000,0
workspaceModel.workspaceFileIndexData.instances.count,1772701658591000000,1772701718628000000,1
workspaceModel.entityStorageSnapshotImpl.instances.count,1772701658591000000,1772701718628000000,14
workspaceModel.cachedValue.total.get.count,1772701658591000000,1772701718628000000,47
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1772701658591000000,1772701718628000000,0
workspaceModel.to.snapshot.ms,1772701658591000000,1772701718628000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1772701658591000000,1772701718628000000,0
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1772701658591000000,1772701718628000000,224
workspaceModel.full.replace.project.model.ms,1772701658591000000,1772701718628000000,1316
workspaceModel.workspaceFileIndexData.markDirty.ms,1772701658591000000,1772701718628000000,0
workspaceModel.pre.handlers.ms,1772701658591000000,1772701718628000000,0
workspaceModel.on.before.changed.ms,1772701658591000000,1772701718628000000,556
workspaceModel.init.bridges.ms,1772701658591000000,1772701718628000000,178
workspaceModel.replace.project.model.ms,1772701658591000000,1772701718628000000,0
workspaceModel.updates.precise.ms,1772701658591000000,1772701718628000000,1
workspaceModel.updates.count,1772701658591000000,1772701718628000000,1
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1772701658591000000,1772701718628000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1772701658591000000,1772701718628000000,0
workspaceModel.cachedValue.calculated.count,1772701658591000000,1772701718628000000,7
workspaceModel.initializing.ms,1772701658591000000,1772701718628000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1772701658591000000,1772701718628000000,449
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1772701658591000000,1772701718628000000,193
workspaceModel.on.changed.ms,1772701658591000000,1772701718628000000,510
workspaceModel.check.recursive.update.ms,1772701658591000000,1772701718628000000,0
workspaceModel.cachedValueWithParameters.clear.count,1772701658591000000,1772701718628000000,0
workspaceModel.update.unloaded.entities.ms,1772701658591000000,1772701718628000000,0
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1772701658591000000,1772701718628000000,145
workspaceModel.cachedValueWithParameters.calculated.count,1772701658591000000,1772701718628000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1772701658591000000,1772701718628000000,0
workspaceModel.workspaceFileIndexData.init.ms,1772701658591000000,1772701718628000000,344
workspaceModel.updates.ms,1772701658591000000,1772701718628000000,558
workspaceModel.cachedValue.clear.count,1772701658591000000,1772701718628000000,0
workspaceModel.workspaceFileIndexData.getPackageName.ms,1772701658591000000,1772701718628000000,0
workspaceModel.loading.from.cache.ms,1772701658591000000,1772701718628000000,30
cacheStateStorage.set.duration,1772701658591000000,1772701718628000000,3333
cacheStateStorage.get.duration,1772701658591000000,1772701718628000000,151
cacheStateStorage.set.counter,1772701658591000000,1772701718628000000,6
cacheStateStorage.get.counter,1772701658591000000,1772701718628000000,14
LowMemory.gcLoad,1772701658591000000,1772701718628000000,0.0
DiskQueryRelay.tasksRequested,1772701658591000000,1772701718628000000,424
lexer.JSON.size.bytes,1772701658591000000,1772701718628000000,503
LowMemory.gcOverloaded,1772701658591000000,1772701718628000000,0
writeAction.count,1772701658591000000,1772701718628000000,16
parser.Puppet.size.bytes,1772701658591000000,1772701718628000000,503388
writeAction.median.wait.ms,1772701658591000000,1772701718628000000,800
writeAction.max.wait.ms,1772701658591000000,1772701718628000000,830
parser.JSON.time.ns,1772701658591000000,1772701718628000000,28755792
DiskQueryRelay.tasksExecuted,1772701658591000000,1772701718628000000,424
parser.JSON.size.bytes,1772701658591000000,1772701718628000000,503
parser.Puppet.time.ns,1772701658591000000,1772701718628000000,3241045291
DiskQueryRelay.taskExecutionTotalTimeUs,1772701658591000000,1772701718628000000,3215765
writeAction.wait.ms,1772701658591000000,1772701718628000000,1477
lexer.Puppet.size.bytes,1772701658591000000,1772701718628000000,503388
lexer.JSON.time.ns,1772701658591000000,1772701718628000000,985917
lexer.Puppet.time.ns,1772701658591000000,1772701718628000000,1212529833
DiskQueryRelay.taskWaitingTotalTimeUs,1772701658591000000,1772701718628000000,5339517
Indexing.writer_1.totalTimeSpentWritingMs,1772701658591000000,1772701718628000000,6045
Indexing.writer_3.totalTimeSpentWritingMs,1772701658591000000,1772701718628000000,851
Indexing.totalTimeIndexersSleptMs,1772701658591000000,1772701718628000000,0
Indexing.writesQueuedMax,1772701658591000000,1772701718628000000,175
Indexing.writer_0.totalTimeSpentWritingMs,1772701658591000000,1772701718628000000,4494
Indexing.writer_2.totalTimeSpentWritingMs,1772701658591000000,1772701718628000000,1685
Indexing.cache.totalCacheEvicted,1772701658591000000,1772701718628000000,45032
Indexing.cache.totalCacheMisses,1772701658591000000,1772701718628000000,69475
